Concurso;Data do Sorteio;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Ganhadores Faixa 1;Ganhadores Faixa 2;Ganhadores Faixa 3
1501;08/06/2013;1;7;13;29;37;54;1;238;11210
1502;12/06/2013;6;22;43;51;52;57;0;48;3580
1503;15/06/2013;3;4;16;22;36;42;0;111;8448
1504;19/06/2013;2;10;12;30;41;42;0;74;5957
1505;22/06/2013;1;2;6;9;16;32;0;263;15199
1506;26/06/2013;3;14;18;34;42;49;0;182;10892
1507;29/06/2013;24;46;50;51;52;56;0;93;7021
1508;03/07/2013;17;18;30;35;39;58;2;115;10276
1509;06/07/2013;1;6;27;46;51;59;0;71;5633
1510;10/07/2013;1;8;17;44;46;53;1;95;9101
1511;13/07/2013;4;8;17;29;31;45;0;138;7658
1512;17/07/2013;11;28;35;42;46;58;0;94;5874
1513;20/07/2013;17;28;31;56;57;58;0;44;4837
1514;24/07/2013;16;17;23;42;59;60;1;66;6219
1515;27/07/2013;4;13;14;18;49;59;1;111;8567
1516;31/07/2013;4;18;20;34;45;60;1;56;3946
1517;03/08/2013;7;17;38;45;52;56;0;60;5366
1518;06/08/2013;8;9;28;41;48;55;0;28;2892
1519;08/08/2013;5;6;15;23;56;59;0;72;5886
1520;10/08/2013;7;31;35;36;46;48;0;43;5886
1521;14/08/2013;11;14;18;30;33;39;1;134;9266
1522;17/08/2013;5;8;23;32;33;56;0;93;6765
1523;21/08/2013;22;25;31;39;41;44;0;61;4254
1524;24/08/2013;2;12;40;46;52;53;0;53;4637
1525;28/08/2013;2;26;30;35;46;54;0;67;6260
1526;31/08/2013;10;16;28;47;51;59;1;149;10735
1527;04/09/2013;16;32;36;42;44;48;0;92;5439
1528;06/09/2013;4;13;15;19;36;58;0;101;7347
1529;11/09/2013;11;15;17;34;35;49;1;75;6622
1530;14/09/2013;10;16;28;33;48;53;2;138;9644
1531;18/09/2013;12;13;24;41;42;44;0;108;5944
1532;21/09/2013;2;11;23;31;42;44;3;91;5676
1533;25/09/2013;13;21;29;34;47;57;0;89;5659
1534;28/09/2013;1;12;28;29;34;48;1;89;6196
1535;02/10/2013;8;9;25;41;54;55;0;63;6058
1536;05/10/2013;13;18;29;32;50;58;0;89;7408
1537;09/10/2013;6;10;33;50;51;56;1;209;11870
1538;11/10/2013;23;27;35;52;53;57;1;132;5238
1539;16/10/2013;8;10;20;26;49;58;0;53;4366
1540;19/10/2013;3;17;27;32;47;54;0;299;14429
1541;23/10/2013;5;24;37;44;49;58;0;205;12026
1542;26/10/2013;7;11;12;30;39;57;0;154;11783
1543;30/10/2013;7;15;20;23;30;41;0;182;13138
1544;01/11/2013;2;21;30;35;45;50;0;152;10385
1545;06/11/2013;4;6;11;24;45;48;1;680;45410
1546;09/11/2013;4;17;38;44;53;60;0;100;6673
1547;13/11/2013;2;9;10;18;21;28;1;227;11559
1548;16/11/2013;19;41;42;44;47;54;0;45;3429
1549;20/11/2013;10;12;16;20;32;53;1;66;6564
1550;23/11/2013;9;13;21;27;36;56;1;229;14109
1551;27/11/2013;2;15;19;21;23;38;1;131;7631
1552;30/11/2013;7;18;24;26;39;46;0;122;7839
1553;04/12/2013;20;21;22;29;46;60;0;48;3788
1554;07/12/2013;30;32;49;50;52;53;0;60;4098
1555;11/12/2013;2;5;23;33;52;59;0;167;13033
1556;14/12/2013;1;4;7;10;11;52;0;549;26705
1557;17/12/2013;4;16;18;31;45;46;0;123;8744
1558;19/12/2013;7;15;17;31;42;54;0;186;11538
1559;21/12/2013;8;12;16;29;37;58;1;317;16431
1560;31/12/2013;20;30;36;38;47;53;4;1147;90376
1561;02/01/2014;23;26;28;54;55;60;0;20;1669
1562;04/01/2014;10;12;23;37;47;51;0;59;4384
1563;09/01/2014;1;6;13;20;36;43;1;202;10395
1564;11/01/2014;25;38;44;46;53;54;1;71;5602
1565;15/01/2014;18;37;39;41;43;51;0;52;5157
1566;18/01/2014;5;6;11;32;36;60;1;133;8797
1567;22/01/2014;2;15;30;38;48;53;0;59;4463
1568;25/01/2014;19;24;25;28;42;58;0;103;7192
1569;29/01/2014;5;15;18;31;42;53;0;81;6718
1570;01/02/2014;15;18;24;42;46;56;0;225;11903
1571;05/02/2014;3;29;32;46;55;60;0;176;11857
1572;08/02/2014;20;27;42;45;46;47;0;93;11613
1573;12/02/2014;7;16;21;35;36;38;0;230;19015
1574;15/02/2014;6;27;28;33;46;48;0;459;29794
1575;19/02/2014;1;4;5;14;45;56;1;709;42590
1576;22/02/2014;13;15;21;26;30;46;0;88;5886
1577;26/02/2014;11;14;25;32;51;59;1;86;6004
1578;01/03/2014;3;6;30;37;53;56;0;107;6347
1579;05/03/2014;25;34;40;49;51;60;0;23;2180
1580;08/03/2014;1;6;14;17;33;36;2;378;20400
1581;12/03/2014;14;15;25;30;31;34;0;41;4202
1582;15/03/2014;1;4;13;17;38;48;1;125;10807
1583;19/03/2014;2;9;17;18;45;47;0;130;7907
1584;22/03/2014;3;22;27;28;50;54;0;97;7379
1585;26/03/2014;2;43;47;48;49;55;0;103;8235
1586;29/03/2014;8;39;43;46;47;58;0;150;10556
1587;02/04/2014;8;19;21;30;52;56;0;179;12440
1588;05/04/2014;23;29;32;36;45;49;2;353;21216
1589;09/04/2014;4;5;11;19;41;51;0;87;7815
1590;12/04/2014;7;20;34;40;44;55;0;89;8050
1591;16/04/2014;4;10;23;33;38;55;1;278;16180
1592;19/04/2014;31;36;38;41;42;49;0;23;2341
1593;23/04/2014;4;9;17;18;21;38;1;136;8689
1594;26/04/2014;6;7;8;23;43;53;0;71;6341
1595;30/04/2014;2;5;8;42;46;59;2;236;12387
1596;03/05/2014;1;5;7;10;12;45;1;380;16970
1597;07/05/2014;5;10;16;44;50;52;0;57;5638
1598;10/05/2014;29;31;36;42;47;53;0;121;6776
1599;14/05/2014;3;10;15;35;36;58;1;135;8922
1600;17/05/2014;9;23;32;35;46;57;1;110;8443
1601;21/05/2014;8;10;24;45;56;60;0;90;5373
1602;24/05/2014;8;12;22;35;40;44;1;69;6039
1603;28/05/2014;13;20;27;31;53;60;0;64;4652
1604;31/05/2014;2;21;24;27;40;51;0;62;5333
1605;04/06/2014;9;19;21;30;31;42;0;87;6694
1606;07/06/2014;1;15;37;42;46;54;1;101;9327
1607;11/06/2014;7;31;32;41;51;52;0;91;2820
1608;14/06/2014;5;6;17;43;54;59;0;79;5998
1609;18/06/2014;2;6;13;26;53;60;0;140;8573
1610;21/06/2014;1;4;9;35;36;53;0;173;9626
1611;25/06/2014;24;28;47;50;51;58;0;97;6367
1612;28/06/2014;6;13;17;36;42;51;2;261;16822
1613;02/07/2014;4;18;31;44;46;49;0;103;5801
1614;05/07/2014;14;17;21;27;43;49;1;149;7458
1615;09/07/2014;5;20;26;31;33;44;0;71;5701
1616;12/07/2014;28;31;40;42;46;58;0;185;6475
1617;16/07/2014;3;23;26;31;47;54;2;265;13116
1618;19/07/2014;9;20;24;43;51;52;1;32;3161
1619;23/07/2014;5;8;17;42;46;47;0;92;7438
1620;26/07/2014;13;23;27;34;38;57;0;136;9539
1621;30/07/2014;10;22;24;38;39;49;1;81;6823
1622;02/08/2014;4;5;7;21;45;53;0;107;7833
1623;05/08/2014;33;43;49;50;56;59;0;28;1825
1624;07/08/2014;2;27;32;41;47;58;0;76;4576
1625;09/08/2014;11;22;36;40;45;52;0;77;6419
1626;13/08/2014;3;5;14;35;43;52;0;158;12451
1627;16/08/2014;20;26;32;41;45;57;1;130;9306
1628;20/08/2014;26;29;34;38;50;60;0;36;2795
1629;23/08/2014;4;20;24;35;47;59;0;92;5701
1630;27/08/2014;1;7;30;43;44;54;0;81;6412
1631;30/08/2014;4;29;44;47;48;60;0;140;9659
1632;03/09/2014;6;18;24;27;56;59;1;244;16339
1633;06/09/2014;1;2;11;13;36;49;0;99;7430
1634;10/09/2014;9;10;23;33;44;51;1;110;6257
1635;13/09/2014;8;23;28;30;32;51;0;112;6874
1636;17/09/2014;19;26;33;35;51;52;0;90;8474
1637;20/09/2014;1;5;24;47;55;56;0;144;11489
1638;24/09/2014;1;2;38;41;42;58;0;143;9363
1639;27/09/2014;16;29;34;35;49;51;2;228;13321
1640;01/10/2014;2;6;18;23;31;46;2;253;12809
1641;04/10/2014;23;29;30;33;46;51;0;47;4951
1642;08/10/2014;3;23;42;43;47;60;0;53;5355
1643;11/10/2014;16;19;20;28;37;60;0;60;5152
1644;15/10/2014;10;13;16;22;34;60;0;92;8884
1645;18/10/2014;8;18;21;31;37;38;0;137;8400
1646;22/10/2014;19;23;34;40;41;58;0;126;10700
1647;25/10/2014;12;17;23;38;53;54;1;259;20655
1648;29/10/2014;15;16;18;20;22;48;0;98;5545
1649;01/11/2014;24;33;38;42;44;54;0;99;7522
1650;05/11/2014;17;23;29;38;57;60;0;133;10962
1651;08/11/2014;8;27;35;38;41;44;0;145;12024
1652;12/11/2014;7;24;26;28;44;57;0;391;22215
1653;14/11/2014;1;21;22;27;32;45;0;134;12071
1654;19/11/2014;7;16;33;42;50;58;0;249;19592
1655;22/11/2014;7;24;28;46;53;56;2;704;39616
1656;26/11/2014;4;6;11;43;54;56;0;55;5037
1657;29/11/2014;7;10;14;37;45;54;1;170;9969
1658;03/12/2014;7;11;19;23;40;49;1;110;7011
1659;06/12/2014;4;10;20;33;37;49;0;95;6810
1660;10/12/2014;8;17;34;38;42;51;1;218;11526
1661;13/12/2014;13;16;27;43;48;58;0;70;6712
1662;17/12/2014;10;14;25;29;33;57;2;160;8641
1663;20/12/2014;18;20;27;40;49;55;0;28;3524
1664;24/12/2014;8;21;23;29;36;48;1;131;8211
1665;31/12/2014;1;5;11;16;20;56;4;2581;168546
1666;03/01/2015;1;2;23;27;45;51;0;82;5042
1667;07/01/2015;7;12;24;44;51;56;1;143;7934
1668;10/01/2015;5;40;47;52;55;57;0;42;3171
1669;14/01/2015;28;29;31;45;48;49;0;54;3941
1670;17/01/2015;1;17;19;30;33;47;0;132;10142
1671;21/01/2015;21;27;31;45;55;56;0;71;5343
1672;24/01/2015;1;3;5;10;20;42;1;566;28440
1673;28/01/2015;5;10;23;24;35;47;0;97;7613
1674;31/01/2015;22;30;42;50;58;59;0;49;2994
1675;04/02/2015;3;18;34;35;36;56;1;139;10903
1676;07/02/2015;1;2;11;37;48;51;0;46;4406
1677;11/02/2015;10;15;28;33;51;52;2;154;7597
1678;14/02/2015;9;11;17;19;35;52;0;111;6955
1679;18/02/2015;1;2;27;28;46;47;1;35;3289
1680;21/02/2015;23;37;38;46;47;51;1;298;5821
1681;25/02/2015;1;6;8;11;33;50;1;90;6663
1682;28/02/2015;7;13;35;37;39;51;0;201;8761
1683;04/03/2015;4;12;32;33;34;48;1;80;6925
1684;07/03/2015;9;12;18;31;39;50;0;49;4143
1685;11/03/2015;3;18;31;39;46;51;0;134;7584
1686;14/03/2015;9;14;37;44;46;55;3;117;8999
1687;18/03/2015;15;24;37;46;49;58;1;75;4522
1688;21/03/2015;18;23;30;32;42;56;0;47;4355
1689;25/03/2015;2;5;13;27;41;53;2;185;9634
1690;28/03/2015;21;24;26;35;45;53;0;63;5708
1691;01/04/2015;1;10;24;39;45;58;0;145;9387
1692;04/04/2015;11;13;14;27;44;56;0;180;12447
1693;08/04/2015;5;15;18;19;21;38;0;178;13997
1694;11/04/2015;20;29;34;37;45;57;1;348;10854
1695;15/04/2015;24;36;38;43;44;58;0;128;8910
1696;18/04/2015;1;12;17;31;37;46;1;135;9824
1697;22/04/2015;8;23;30;51;53;58;0;62;3593
1698;25/04/2015;11;13;24;28;44;45;0;132;8869
1699;29/04/2015;1;6;10;30;33;38;0;189;9424
1700;02/05/2015;15;18;41;48;50;58;1;65;5380
1701;05/05/2015;3;9;18;32;40;56;1;59;3328
1702;07/05/2015;17;19;33;35;39;52;1;139;5963
1703;09/05/2015;3;23;26;35;39;49;0;75;4451
1704;13/05/2015;1;7;11;32;51;59;0;74;6399
1705;16/05/2015;25;27;29;37;50;51;0;60;6095
1706;20/05/2015;12;31;34;36;48;56;1;136;10756
1707;23/05/2015;7;16;20;27;36;52;0;65;4048
1708;27/05/2015;17;29;32;38;45;50;0;72;4174
1709;30/05/2015;7;19;30;35;42;47;0;102;6499
1710;03/06/2015;7;21;28;56;58;59;0;90;6845
1711;06/06/2015;22;26;38;39;45;50;0;85;6112
1712;10/06/2015;2;12;19;29;50;59;0;169;9443
1713;13/06/2015;3;10;16;23;27;29;2;388;21476
1714;17/06/2015;2;8;24;36;51;52;0;106;5421
1715;20/06/2015;16;20;35;40;53;60;0;58;4649
1716;24/06/2015;2;25;36;41;42;53;1;62;5896
1717;27/06/2015;2;9;16;37;44;58;0;122;4934
1718;01/07/2015;4;30;31;32;47;53;0;49;3197
1719;04/07/2015;1;22;31;34;44;54;0;45;3009
1720;07/07/2015;18;23;31;39;49;57;0;47;3410
1721;09/07/2015;4;12;19;33;36;38;1;188;9668
1722;11/07/2015;9;23;39;41;49;58;0;33;2640
1723;15/07/2015;14;27;30;46;52;60;0;54;3169
1724;18/07/2015;27;33;37;39;58;60;0;53;4281
1725;22/07/2015;16;18;26;30;31;34;0;51;5054
1726;25/07/2015;3;10;42;49;54;57;0;111;7581
1727;29/07/2015;4;6;19;20;40;41;1;122;8814
1728;01/08/2015;3;8;28;39;42;59;0;45;3617
1729;04/08/2015;7;14;23;43;44;53;0;39;2553
1730;06/08/2015;1;10;17;24;42;51;2;195;10089
1731;08/08/2015;5;18;27;43;49;59;0;68;4160
1732;12/08/2015;25;34;38;45;53;60;1;73;3177
1733;15/08/2015;3;5;9;14;41;46;1;63;4818
1734;19/08/2015;12;17;25;29;41;52;0;64;3315
1735;22/08/2015;6;16;33;34;45;46;0;86;4779
1736;26/08/2015;12;13;24;29;32;41;0;105;6581
1737;29/08/2015;5;8;42;50;51;59;0;73;5770
1738;02/09/2015;12;28;37;46;48;53;1;96;6889
1739;05/09/2015;9;10;17;32;34;46;0;51;4020
1740;09/09/2015;10;15;25;38;47;53;0;62;4599
1741;12/09/2015;15;18;20;32;48;49;1;82;6448
1742;16/09/2015;11;19;21;23;27;52;0;83;4483
1743;19/09/2015;4;10;29;31;34;35;0;40;3955
1744;23/09/2015;9;12;14;29;42;56;0;96;5272
1745;26/09/2015;9;13;18;47;52;60;0;128;6976
1746;30/09/2015;6;18;37;40;41;58;0;106;5849
1747;03/10/2015;6;33;34;48;53;59;2;93;8700
1748;07/10/2015;2;10;13;41;49;53;0;76;3731
1749;10/10/2015;3;13;14;29;33;43;0;78;7101
1750;13/10/2015;15;17;20;31;41;48;0;23;1865
1751;15/10/2015;15;22;23;42;51;57;0;47;4580
1752;17/10/2015;9;36;37;53;55;60;0;70;5668
1753;21/10/2015;8;15;29;35;45;54;1;149;8929
1754;24/10/2015;20;27;30;31;40;53;0;22;1958
1755;28/10/2015;2;5;8;18;30;48;0;123;8784
1756;31/10/2015;6;13;14;28;35;45;0;134;10310
1757;04/11/2015;13;25;28;37;43;56;0;311;11196
1758;07/11/2015;6;11;16;23;36;42;0;230;13800
1759;10/11/2015;2;14;21;22;51;60;0;70;5957
1760;13/11/2015;10;24;25;36;47;48;0;206;14689
1761;14/11/2015;9;10;36;50;53;55;0;176;17821
1762;18/11/2015;26;32;42;45;55;59;0;219;18595
1763;21/11/2015;9;12;15;21;31;36;0;689;43184
1764;25/11/2015;6;7;29;39;41;55;1;401;33850
1765;28/11/2015;1;6;28;37;56;58;0;185;9138
1766;02/12/2015;22;23;41;46;53;60;0;70;7088
1767;05/12/2015;16;26;35;39;44;45;0;84;7608
1768;09/12/2015;5;7;11;34;35;50;0;156;12402
1769;12/12/2015;32;37;44;47;54;60;0;105;7782
1770;16/12/2015;11;26;27;30;34;41;0;110;8861
1771;19/12/2015;2;20;27;28;32;38;0;123;10330
1772;22/12/2015;12;19;27;39;41;45;2;244;13112
1773;24/12/2015;15;30;39;41;45;59;0;36;2312
1774;26/12/2015;1;12;20;30;52;60;0;37;2707
1775;31/12/2015;2;18;31;42;51;56;6;827;62767
1776;02/01/2016;10;11;14;19;39;48;0;17;1051
1777;06/01/2016;4;19;38;44;52;55;0;62;3484
1778;09/01/2016;4;10;38;40;45;48;0;37;3457
1779;12/01/2016;12;25;30;39;56;57;0;30;2162
1780;14/01/2016;6;20;22;31;33;34;0;30;3095
1781;16/01/2016;1;8;22;49;52;53;2;54;3941
1782;20/01/2016;6;18;34;47;52;57;0;110;3430
1783;23/01/2016;4;6;16;18;21;38;0;67;4886
1784;27/01/2016;4;15;26;30;54;55;0;32;2896
1785;30/01/2016;5;11;27;41;42;54;0;91;6410
1786;02/02/2016;2;6;8;21;25;34;0;76;5065
1787;04/02/2016;1;5;13;25;26;29;2;167;8897
1788;06/02/2016;3;13;42;45;56;59;0;41;3508
1789;10/02/2016;6;25;43;57;58;59;0;16;1574
1790;13/02/2016;11;13;26;27;28;50;0;72;5672
1791;17/02/2016;12;18;46;50;53;55;0;36;3703
1792;20/02/2016;2;16;17;18;41;47;0;85;6593
1793;24/02/2016;13;14;22;54;56;58;1;80;5158
1794;27/02/2016;1;5;34;37;40;60;1;64;3568
1795;02/03/2016;30;42;47;50;55;58;0;48;2549
1796;05/03/2016;22;23;34;48;53;54;1;48;4783
1797;08/03/2016;2;13;14;35;54;57;0;32;2516
1798;10/03/2016;2;9;23;28;45;53;0;88;4315
1799;12/03/2016;1;3;4;39;51;53;0;39;3102
1800;16/03/2016;6;11;16;19;31;56;1;96;5710
1801;19/03/2016;6;19;34;43;45;54;0;82;3265
1802;23/03/2016;2;6;13;14;17;44;0;99;6229
1803;26/03/2016;4;8;29;38;49;50;0;35;2641
1804;30/03/2016;20;21;28;48;50;59;0;23;2088
1805;02/04/2016;17;22;27;31;49;57;0;53;4693
1806;06/04/2016;11;20;35;42;55;58;0;86;5047
1807;09/04/2016;1;15;16;22;25;43;0;94;7609
1808;13/04/2016;2;14;20;25;41;45;0;141;9208
1809;16/04/2016;9;12;23;24;46;54;0;188;13704
1810;20/04/2016;1;10;25;43;50;56;1;266;14324
1811;23/04/2016;5;17;32;35;37;57;0;82;4309
1812;27/04/2016;20;23;32;34;37;45;0;43;2976
1813;30/04/2016;9;11;13;15;19;51;0;209;9346
1814;03/05/2016;9;11;27;46;51;53;0;51;3473
1815;05/05/2016;8;11;25;39;41;60;3;84;4553
1816;07/05/2016;5;10;12;22;28;46;0;112;6085
1817;11/05/2016;1;4;26;39;47;55;0;49;3620
1818;14/05/2016;2;6;10;15;53;56;0;98;6394
1819;18/05/2016;17;18;26;30;33;37;0;30;4092
1820;21/05/2016;3;19;23;27;40;45;0;182;9333
1821;25/05/2016;19;22;31;36;52;53;2;84;6145
1822;28/05/2016;1;22;26;43;50;53;0;23;1885
1823;01/06/2016;4;9;21;34;54;59;0;70;4110
1824;04/06/2016;5;6;12;19;30;60;0;157;8192
1825;07/06/2016;10;11;21;50;51;54;1;41;3176
1826;09/06/2016;17;19;32;43;48;51;0;42;2476
1827;11/06/2016;26;33;42;43;53;54;0;44;2487
1828;15/06/2016;6;11;32;40;48;59;0;36;2502
1829;18/06/2016;7;13;24;30;32;53;0;103;6254
1830;22/06/2016;3;7;29;37;54;60;1;100;6640
1831;25/06/2016;15;27;28;32;48;55;1;71;3168
1832;29/06/2016;14;34;46;47;56;57;0;31;1786
1833;02/07/2016;2;3;7;16;27;42;0;105;6930
1834;06/07/2016;2;17;22;24;48;51;1;100;5132
1835;09/07/2016;8;28;36;47;50;58;0;41;3133
1836;12/07/2016;8;15;18;45;59;60;0;46;2948
1837;14/07/2016;41;44;48;50;54;57;0;32;2346
1838;16/07/2016;5;8;24;30;57;59;1;115;5293
1839;20/07/2016;7;22;28;32;56;58;0;30;2933
1840;23/07/2016;15;17;33;41;47;48;0;59;4879
1841;27/07/2016;3;6;13;38;49;51;0;81;6170
1842;30/07/2016;16;18;22;24;34;43;1;100;6722
1843;03/08/2016;8;26;28;33;41;54;1;51;3046
1844;06/08/2016;3;4;37;39;48;50;0;21;2121
1845;09/08/2016;3;9;13;29;30;51;0;75;4312
1846;11/08/2016;6;24;26;30;34;49;0;49;3189
1847;13/08/2016;1;6;45;49;50;57;0;44;3678
1848;17/08/2016;9;40;41;50;55;58;0;46;3330
1849;20/08/2016;3;5;11;27;35;44;0;194;11341
1850;24/08/2016;23;24;32;38;40;41;1;81;5935
1851;27/08/2016;8;18;21;22;35;37;0;40;3146
1852;31/08/2016;13;17;29;45;49;50;0;83;4187
1853;03/09/2016;1;2;34;39;41;45;1;28;2780
1854;08/09/2016;25;30;31;34;43;59;0;18;1548
1855;10/09/2016;6;10;15;24;38;39;0;55;4074
1856;14/09/2016;2;9;14;22;32;37;0;122;7199
1857;17/09/2016;13;23;25;35;52;53;0;198;5600
1858;20/09/2016;22;28;30;33;55;59;0;53;3799
1859;22/09/2016;1;13;14;21;26;51;0;88;6049
1860;24/09/2016;10;30;36;40;44;60;1;109;11392
1861;28/09/2016;2;4;9;35;45;60;0;41;3181
1862;01/10/2016;2;8;35;42;49;56;2;99;4549
