CC,Data_Sorteio,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Ganhador
2581,25/07/2022,1,2,3,4,7,8,11,12,15,16,17,19,20,21,22,1
2582,26/07/2022,1,3,4,5,8,10,11,12,13,15,16,18,19,21,24,1
2583,27/07/2022,1,2,5,7,8,10,11,13,14,15,16,18,19,23,24,2
2584,28/07/2022,3,4,5,7,8,10,11,12,13,14,15,16,22,23,24,2
2585,29/07/2022,3,4,6,7,8,10,12,17,18,20,21,22,23,24,25,2
2586,30/07/2022,1,2,7,8,12,13,15,16,18,19,20,21,22,23,24,1
2587,01/08/2022,3,4,6,7,8,9,11,13,15,16,19,20,21,22,24,0
2588,02/08/2022,3,4,5,8,9,10,14,15,17,18,21,22,23,24,25,5
2589,03/08/2022,1,2,4,5,7,8,9,10,14,15,18,21,22,24,25,3
2590,04/08/2022,1,3,4,5,7,9,10,13,15,16,18,20,21,24,25,12
2591,05/08/2022,1,2,3,4,5,7,9,11,12,14,17,20,21,23,24,0
2592,06/08/2022,1,2,4,5,6,7,10,14,15,18,19,21,22,23,25,0
2593,08/08/2022,1,5,6,8,9,10,12,13,15,17,20,21,22,23,24,4
2594,09/08/2022,4,5,9,11,12,14,15,16,18,20,21,22,23,24,25,2
2595,10/08/2022,2,3,4,6,9,10,12,14,16,17,18,20,22,24,25,4
2596,11/08/2022,2,5,6,9,11,12,13,14,15,16,17,19,20,24,25,0
2597,12/08/2022,4,7,8,9,11,12,13,14,15,16,17,19,21,23,25,2
2598,13/08/2022,1,3,6,9,10,11,12,13,14,17,18,19,20,23,25,0
2599,15/08/2022,1,2,3,4,6,8,9,10,11,13,17,18,19,22,23,3
2600,16/08/2022,2,5,7,9,10,11,12,14,15,16,18,22,23,24,25,3
2601,17/08/2022,1,3,4,5,6,7,13,15,16,17,20,21,22,23,24,1
2602,18/08/2022,1,2,3,4,5,6,8,10,11,12,16,18,19,20,23,1
2603,19/08/2022,2,3,5,7,9,10,11,13,15,17,19,20,21,24,25,37
2604,20/08/2022,4,5,6,7,9,12,13,14,15,16,18,19,20,22,23,0
2605,22/08/2022,1,2,5,7,9,11,12,15,16,19,21,22,23,24,25,4
2606,23/08/2022,3,6,7,8,9,10,11,14,16,18,19,20,21,23,24,1
2607,24/08/2022,1,3,5,7,8,9,10,14,16,17,18,22,23,24,25,0
2608,25/08/2022,1,2,4,8,9,11,12,14,15,17,18,19,23,24,25,0
2609,26/08/2022,3,5,6,7,9,11,12,15,17,18,19,20,21,24,25,3
2610,10/09/2022,1,3,5,7,8,9,10,11,12,15,16,17,20,22,24,79
2611,12/09/2022,2,3,4,5,6,7,8,13,14,15,17,19,21,22,25,4
2612,13/09/2022,1,3,6,9,10,11,13,16,17,18,19,20,21,23,25,1
2613,14/09/2022,1,2,3,5,6,8,11,14,15,16,18,19,20,21,25,2
2614,15/09/2022,1,2,3,4,6,10,13,16,17,19,20,21,23,24,25,0
2615,16/09/2022,2,3,5,6,8,9,10,14,15,17,19,20,21,22,25,5
2616,17/09/2022,1,2,3,4,6,7,9,10,12,14,16,18,21,22,25,3
2617,19/09/2022,1,3,5,6,7,8,10,11,12,13,17,18,22,24,25,3
2618,20/09/2022,1,2,3,4,5,6,7,9,11,16,17,18,19,20,25,1
2619,21/09/2022,3,4,5,6,7,9,10,11,12,13,15,16,17,20,25,1
2620,22/09/2022,1,2,3,5,7,9,10,11,13,14,15,16,18,19,23,1
2621,23/09/2022,2,3,4,5,7,9,10,11,12,14,15,20,22,23,25,2
2622,24/09/2022,1,2,3,4,5,6,8,9,10,12,13,17,19,20,25,0
2623,26/09/2022,1,4,5,6,7,10,11,12,13,15,16,18,22,23,24,3
2624,27/09/2022,2,4,5,7,8,12,14,17,18,20,21,22,23,24,25,2
2625,28/09/2022,3,4,5,7,8,9,10,11,12,13,18,19,20,21,25,5
2626,29/09/2022,3,4,5,6,8,10,11,12,13,14,17,20,22,23,24,0
2627,30/09/2022,1,3,7,8,9,10,13,14,16,17,20,21,22,24,25,3
2628,01/10/2022,1,4,9,10,11,12,13,14,15,17,20,21,22,23,25,3
2629,03/10/2022,2,3,4,5,6,7,9,10,12,13,14,19,21,22,25,1
2630,04/10/2022,1,2,3,6,8,9,10,13,14,16,17,20,21,22,25,5
2631,05/10/2022,2,4,5,6,7,8,11,14,17,18,19,20,21,23,24,1
2632,06/10/2022,1,4,5,7,9,11,12,13,15,16,17,19,20,21,22,2
2633,07/10/2022,1,3,4,6,9,11,12,14,15,16,17,18,19,24,25,0
2634,08/10/2022,1,2,3,4,7,9,10,14,15,16,18,20,21,22,24,4
2635,10/10/2022,2,4,5,6,8,10,11,13,14,15,17,20,21,23,25,19
2636,11/10/2022,1,3,4,5,7,8,9,10,11,13,15,18,22,24,25,1
2637,13/10/2022,2,4,5,8,9,10,12,13,19,20,21,22,23,24,25,2
2638,14/10/2022,2,4,5,9,10,12,14,15,18,19,21,22,23,24,25,1
2639,15/10/2022,2,3,7,8,9,11,12,14,15,16,18,20,21,22,24,2
2640,17/10/2022,3,6,7,9,10,11,12,14,15,16,18,19,21,22,25,3
2641,18/10/2022,1,3,4,5,7,8,9,12,13,14,17,19,20,23,24,4
2642,19/10/2022,2,4,5,8,9,13,14,15,16,17,19,20,21,22,24,3
2643,20/10/2022,1,2,3,4,6,9,11,12,13,16,18,19,20,22,25,0
2644,21/10/2022,1,2,5,6,8,10,11,12,13,15,16,17,18,19,20,2
2645,22/10/2022,1,2,3,5,6,7,11,12,13,14,15,17,18,20,24,1
2646,24/10/2022,2,3,6,8,9,10,12,13,14,15,17,20,22,23,25,3
2647,25/10/2022,1,3,4,5,6,9,10,13,16,17,18,19,22,24,25,2
2648,26/10/2022,4,7,8,10,11,12,13,14,15,16,17,18,20,22,25,2
2649,27/10/2022,2,3,6,7,8,10,12,14,15,16,17,19,20,23,24,2
2650,28/10/2022,2,4,5,6,7,9,11,12,13,14,15,18,19,20,22,1
2651,29/10/2022,3,4,10,11,12,13,15,16,17,18,19,22,23,24,25,1
2652,31/10/2022,1,3,4,5,6,8,10,12,14,15,16,17,19,24,25,3
2653,01/11/2022,2,3,7,8,9,10,12,13,14,15,17,18,19,20,21,2
2654,03/11/2022,1,3,5,6,9,10,13,15,16,17,19,20,21,24,25,4
2655,04/11/2022,1,5,6,8,9,11,13,14,15,16,19,20,21,22,23,2
2656,05/11/2022,2,3,4,7,9,10,11,12,13,17,18,19,20,21,25,1
2657,07/11/2022,1,2,3,5,6,7,8,10,12,13,15,16,17,21,24,2
2658,08/11/2022,1,2,3,4,5,8,9,10,12,14,15,16,18,21,24,1
2659,09/11/2022,1,3,5,7,10,11,13,15,18,19,20,21,22,23,24,3
2660,10/11/2022,1,2,3,6,8,10,13,14,15,16,18,19,21,24,25,4
2661,11/11/2022,1,3,4,5,6,8,9,10,12,15,16,17,18,22,25,1
2662,12/11/2022,3,4,5,6,9,10,12,13,14,16,17,19,20,22,23,3
2663,14/11/2022,1,3,5,6,7,11,12,13,14,16,18,19,21,22,25,1
2664,16/11/2022,1,4,5,6,7,8,9,10,11,12,17,18,23,24,25,5
2665,17/11/2022,3,6,7,8,9,11,12,13,15,16,18,19,20,21,25,2
2666,18/11/2022,2,3,4,7,8,10,11,12,13,19,20,21,22,23,24,2
2667,19/11/2022,1,2,3,4,8,9,10,11,13,15,19,20,23,24,25,1
2668,21/11/2022,1,3,5,8,9,13,15,16,17,18,19,20,22,23,24,1
2669,22/11/2022,1,4,6,7,8,9,10,11,14,15,19,20,21,24,25,1
2670,23/11/2022,1,3,5,7,8,13,15,17,18,19,21,22,23,24,25,4
2671,24/11/2022,1,2,5,7,8,9,10,11,12,13,18,20,21,22,25,3
2672,25/11/2022,2,3,5,6,9,10,11,13,15,16,17,19,21,22,24,6
2673,26/11/2022,2,3,4,5,7,8,10,11,12,14,15,20,22,23,24,0
2674,28/11/2022,1,2,3,4,5,7,8,11,12,13,14,15,16,20,25,0
2675,29/11/2022,2,4,7,9,10,12,13,14,16,18,20,22,23,24,25,13
2676,30/11/2022,2,6,8,9,11,13,14,15,16,18,19,21,22,23,25,1
2677,01/12/2022,1,3,4,6,8,10,11,12,14,16,17,18,21,22,24,8
2678,02/12/2022,2,4,5,6,7,8,9,10,11,15,16,17,20,22,24,2
2679,03/12/2022,4,5,6,7,8,9,10,12,13,16,19,20,22,24,25,1
2680,05/12/2022,1,2,4,5,9,10,11,13,15,16,17,19,20,23,24,7
2681,06/12/2022,2,4,7,8,10,12,13,14,16,17,18,19,21,22,24,1
2682,07/12/2022,3,4,6,7,8,9,10,11,12,14,15,16,19,23,24,0
2683,08/12/2022,1,2,3,4,8,10,11,12,13,14,20,21,22,23,25,2
2684,09/12/2022,2,4,6,7,8,9,10,11,12,13,15,20,22,23,25,0
2685,10/12/2022,4,5,6,7,8,9,11,16,17,18,20,21,22,24,25,1
2686,12/12/2022,1,3,4,5,7,8,9,13,14,15,16,19,20,21,24,1
2687,13/12/2022,3,4,5,6,7,10,11,13,14,15,16,19,20,21,22,3
2688,14/12/2022,2,4,5,6,7,8,10,11,14,16,17,18,20,22,25,1
2689,15/12/2022,2,3,4,5,8,9,10,14,15,16,18,21,22,23,24,3
2690,16/12/2022,1,3,5,6,7,8,11,12,15,17,18,20,21,23,24,3
2691,17/12/2022,1,2,6,9,10,11,12,13,15,17,18,19,21,24,25,4
2692,19/12/2022,1,2,3,4,6,8,9,11,13,14,15,20,21,22,24,3
2693,20/12/2022,3,7,8,9,10,13,14,15,16,19,20,21,22,24,25,1
2694,21/12/2022,3,5,7,8,9,10,11,12,13,14,15,20,21,23,24,1
2695,22/12/2022,1,2,8,9,10,11,12,13,15,17,20,21,23,24,25,2
2696,23/12/2022,1,2,3,4,6,7,8,9,11,13,14,15,16,18,22,1
2697,24/12/2022,2,5,6,9,10,11,13,14,15,18,19,20,21,22,25,2
2698,26/12/2022,1,2,3,4,5,8,9,10,12,17,20,22,23,24,25,1
2699,27/12/2022,1,3,4,6,7,8,11,13,14,15,16,20,22,23,24,1
2700,28/12/2022,3,4,5,6,7,9,13,14,16,17,19,21,22,24,25,4
2701,29/12/2022,1,3,4,5,7,9,12,14,16,18,19,21,22,23,25,3
2702,30/12/2022,1,2,4,6,7,10,14,15,16,17,18,19,21,23,25,3
2703,31/12/2022,1,2,5,7,9,10,12,13,14,17,19,20,21,23,24,6
2704,03/01/2023,2,5,7,8,9,10,11,12,13,16,18,19,20,21,23,2
2705,04/01/2023,2,3,4,7,8,9,14,16,17,18,19,20,22,24,25,0
2706,05/01/2023,1,3,4,7,8,9,10,11,12,13,15,18,21,22,25,0
2707,06/01/2023,1,2,4,5,8,9,10,11,14,15,16,17,18,21,25,1
2708,07/01/2023,1,2,3,5,6,13,14,16,18,19,21,22,23,24,25,2
2709,09/01/2023,1,2,3,5,9,10,11,12,13,19,21,22,23,24,25,2
2710,10/01/2023,1,2,3,4,7,10,11,12,13,14,16,17,20,24,25,5
2711,11/01/2023,1,3,4,8,11,12,15,16,18,19,20,22,23,24,25,1
2712,12/01/2023,2,3,8,11,12,13,16,17,18,19,20,22,23,24,25,4
2713,13/01/2023,2,3,5,6,7,8,9,12,15,18,19,20,21,22,24,4
2714,14/01/2023,2,3,5,6,8,9,11,13,16,17,18,21,23,24,25,2
2715,16/01/2023,2,4,6,7,11,12,13,14,15,17,18,19,22,23,25,1
2716,17/01/2023,1,4,6,8,9,10,13,14,15,17,18,19,20,21,24,1
2717,18/01/2023,2,3,4,5,9,10,11,14,15,16,17,20,21,22,24,6
2718,19/01/2023,1,2,3,4,6,7,8,12,15,19,20,21,22,23,25,0
2719,20/01/2023,1,4,5,6,8,10,11,13,14,15,17,19,22,23,24,8
2720,21/01/2023,1,4,5,6,7,8,9,11,13,15,17,19,21,22,23,5
2721,23/01/2023,1,3,5,8,10,11,12,13,14,16,18,19,20,21,25,3
2722,24/01/2023,1,2,3,4,5,6,8,12,18,20,21,22,23,24,25,8
2723,25/01/2023,1,2,3,6,7,8,10,12,15,17,20,21,22,23,24,1
2724,26/01/2023,1,3,5,6,8,12,13,14,17,19,20,21,22,24,25,2
2725,27/01/2023,1,2,4,5,7,8,9,10,11,12,14,17,22,23,24,4
2726,28/01/2023,2,5,6,8,9,10,11,14,16,17,18,19,20,21,23,3
2727,30/01/2023,2,3,4,8,9,10,11,12,13,16,17,18,19,20,23,4
2728,31/01/2023,1,2,3,4,5,9,10,11,13,14,16,17,18,20,22,0
2729,01/02/2023,2,4,5,6,8,9,10,12,13,14,19,20,21,22,25,3
2730,02/02/2023,2,4,7,10,11,13,14,15,16,19,20,21,23,24,25,3
2731,03/02/2023,1,3,7,8,9,11,12,13,14,18,19,20,21,23,25,2
2732,04/02/2023,2,3,5,6,8,10,12,15,16,18,19,20,21,24,25,4
2733,06/02/2023,1,3,4,6,7,8,10,11,12,14,19,21,22,24,25,2
2734,07/02/2023,1,3,5,6,8,10,11,12,14,15,17,18,21,22,23,1
2735,08/02/2023,1,2,4,5,6,8,9,11,12,14,17,18,21,23,24,3
2736,09/02/2023,1,3,6,8,11,12,14,15,17,18,19,20,21,23,25,0
2737,10/02/2023,3,4,5,7,9,10,11,16,17,18,19,20,23,24,25,1
2738,11/02/2023,1,3,4,10,11,12,13,14,15,16,19,20,21,24,25,2
2739,13/02/2023,1,2,3,4,5,6,7,11,13,15,16,18,22,23,25,1
2740,14/02/2023,2,3,5,6,7,8,9,10,11,13,14,15,17,19,23,7
2741,15/02/2023,1,2,4,5,6,7,8,9,13,15,18,22,23,24,25,4
2742,16/02/2023,1,2,4,5,7,9,11,12,13,14,15,17,18,20,22,1
2743,17/02/2023,1,4,6,8,9,12,13,16,17,18,19,20,22,23,24,1
2744,18/02/2023,1,2,3,4,6,7,8,9,11,12,15,20,21,23,25,1
2745,22/02/2023,1,6,7,9,10,11,12,14,15,17,19,22,23,24,25,1
2746,23/02/2023,1,3,4,6,7,10,11,12,13,17,18,19,23,24,25,7
2747,24/02/2023,1,2,5,7,8,10,11,12,14,17,18,19,20,21,25,3
2748,25/02/2023,1,2,4,5,6,8,9,10,12,14,16,19,22,23,24,1
2749,27/02/2023,2,5,6,7,9,10,12,13,14,16,18,20,21,22,24,2
2750,28/02/2023,1,2,6,7,8,9,11,13,14,16,17,18,21,22,23,2
2751,01/03/2023,1,2,3,5,9,10,12,13,15,16,17,19,23,24,25,4
2752,02/03/2023,2,3,4,7,10,11,12,15,16,17,20,21,22,23,25,4
2753,03/03/2023,2,5,7,8,11,12,14,16,17,18,20,21,22,24,25,2
2754,04/03/2023,2,3,4,8,9,10,13,14,16,17,18,19,20,24,25,1
2755,06/03/2023,1,3,5,7,8,9,10,11,12,15,16,17,21,22,23,2
2756,07/03/2023,1,2,5,6,8,10,11,12,14,15,18,20,21,22,23,1
2757,08/03/2023,1,3,5,6,7,8,9,10,12,13,17,18,19,23,25,4
2758,09/03/2023,1,2,3,4,7,10,11,12,13,16,18,21,22,23,24,1
2759,10/03/2023,2,3,7,9,10,11,12,13,15,17,18,19,20,21,23,4
2760,11/03/2023,1,2,4,6,7,10,11,13,14,15,17,18,20,22,24,6
2761,13/03/2023,1,2,3,4,8,11,13,14,15,17,18,19,20,21,22,1
2762,14/03/2023,2,5,6,9,10,11,12,13,16,17,19,21,22,23,24,1
2763,15/03/2023,1,2,4,6,8,9,10,11,13,15,16,18,19,20,23,2
2764,16/03/2023,1,2,4,5,7,10,11,12,13,16,19,20,23,24,25,1
2765,17/03/2023,2,3,5,6,7,11,14,15,16,19,20,21,23,24,25,2
2766,18/03/2023,1,3,4,6,8,9,11,14,15,17,19,21,22,23,25,5
2767,20/03/2023,2,3,6,7,8,11,15,16,17,18,19,20,21,22,24,0
2768,21/03/2023,1,4,5,7,9,11,13,14,15,16,19,20,22,23,25,10
2769,22/03/2023,1,2,3,5,7,8,10,11,12,16,17,18,21,24,25,5
2770,23/03/2023,2,3,4,6,8,10,11,12,13,15,18,19,20,21,23,4
2771,24/03/2023,4,6,7,8,9,12,15,16,17,18,19,20,22,23,25,3
2772,25/03/2023,1,2,5,7,8,9,10,11,12,16,17,19,23,24,25,2
2773,27/03/2023,1,2,3,4,5,7,11,14,16,18,20,21,22,23,24,4
2774,28/03/2023,1,2,4,6,8,12,13,15,18,20,21,22,23,24,25,0
2775,29/03/2023,1,2,3,4,8,12,14,15,18,19,20,22,23,24,25,1
2776,30/03/2023,1,2,4,5,8,12,13,14,15,17,18,19,20,22,23,1
2777,31/03/2023,3,6,7,8,9,11,12,13,14,15,17,20,21,24,25,0
2778,01/04/2023,1,4,5,6,9,10,11,12,13,15,18,19,20,22,25,7
2779,03/04/2023,1,2,6,7,8,9,10,11,12,15,18,20,21,23,25,2
2780,04/04/2023,3,4,7,9,10,11,13,14,17,19,20,21,22,23,24,4
2781,05/04/2023,3,4,5,7,8,10,14,15,16,17,18,20,23,24,25,2
2782,06/04/2023,1,4,6,9,10,11,12,16,17,18,19,20,22,23,24,0
2783,08/04/2023,2,4,7,8,9,10,11,13,15,19,20,21,22,24,25,4
2784,10/04/2023,1,2,3,4,6,7,8,10,11,14,15,19,21,22,25,1
2785,11/04/2023,1,4,5,9,11,14,15,17,18,19,20,21,23,24,25,4
2786,12/04/2023,1,2,3,5,6,7,10,12,15,16,17,18,21,23,25,1
2787,13/04/2023,1,4,7,9,11,12,14,16,18,19,21,22,23,24,25,1
2788,14/04/2023,2,3,5,6,7,8,9,10,12,14,15,19,20,24,25,3
2789,15/04/2023,3,4,6,7,8,9,10,12,13,14,15,18,19,20,25,0
2790,17/04/2023,2,3,5,7,8,9,10,11,12,13,16,20,21,22,25,5
2791,18/04/2023,3,4,6,8,10,11,14,15,16,17,20,22,23,24,25,1
2792,19/04/2023,1,3,6,8,9,10,11,13,16,17,18,20,21,23,25,1
2793,20/04/2023,2,3,4,5,6,7,8,13,14,15,18,20,21,22,24,1
2794,22/04/2023,1,2,3,5,6,8,10,14,15,16,17,20,21,22,25,1
2795,24/04/2023,1,2,3,4,5,6,7,8,9,11,15,18,19,22,25,1
2796,25/04/2023,1,3,4,7,9,10,12,15,16,19,20,21,22,24,25,2
2797,26/04/2023,3,4,5,6,10,11,13,14,16,18,19,20,22,23,25,1
2798,27/04/2023,1,2,3,5,7,8,12,14,15,16,18,20,22,23,24,6
2799,28/04/2023,1,3,6,9,10,11,13,14,15,16,18,20,21,22,23,3
2800,29/04/2023,2,3,5,6,7,9,13,14,15,16,17,20,21,22,23,4
2801,02/05/2023,1,2,3,7,9,12,15,16,17,18,19,20,22,24,25,3
2802,03/05/2023,1,2,3,4,6,8,9,12,13,16,17,18,22,23,25,3
2803,04/05/2023,1,5,6,7,8,9,12,13,14,16,18,20,21,24,25,1
2804,05/05/2023,2,3,4,7,8,9,10,11,12,13,14,16,21,23,24,0
2805,06/05/2023,5,6,7,8,10,11,12,13,14,18,19,20,22,23,25,1
2806,08/05/2023,1,2,3,4,5,11,12,13,14,16,17,19,20,23,25,0
2807,09/05/2023,1,3,5,6,7,9,10,11,12,13,14,15,16,22,24,2
2808,10/05/2023,4,6,8,9,10,12,13,14,15,18,19,20,21,22,24,0
2809,11/05/2023,1,2,4,5,7,8,13,15,18,19,20,21,22,24,25,1
2810,12/05/2023,2,4,5,7,10,11,12,13,14,18,19,20,23,24,25,2
2811,13/05/2023,2,3,4,5,6,7,8,9,10,11,15,16,22,23,25,2
2812,15/05/2023,1,3,8,11,12,13,14,15,19,20,21,22,23,24,25,4
2813,16/05/2023,1,2,3,4,7,11,13,14,15,18,19,21,22,24,25,1
2814,17/05/2023,1,2,4,7,8,11,12,13,15,19,20,22,23,24,25,7
2815,18/05/2023,3,4,5,6,7,8,9,10,13,16,18,19,22,24,25,1
2816,19/05/2023,1,2,8,9,11,13,14,15,16,18,19,21,22,24,25,3
2817,20/05/2023,3,4,5,7,8,12,13,17,18,19,20,21,22,24,25,1
2818,22/05/2023,1,2,3,4,5,7,9,10,11,12,13,14,15,17,24,1
2819,23/05/2023,1,2,4,5,6,8,10,11,14,18,20,21,22,23,24,0
2820,24/05/2023,4,5,6,9,10,12,13,14,17,18,19,20,21,23,25,6
2821,25/05/2023,2,3,4,5,6,8,9,10,12,13,19,20,21,22,23,2
2822,26/05/2023,1,3,4,5,6,9,10,11,12,17,20,21,23,24,25,2
2823,27/05/2023,1,4,6,13,14,15,16,17,18,19,20,21,23,24,25,0
2824,29/05/2023,1,2,5,7,9,12,13,14,15,16,20,21,22,24,25,2
2825,30/05/2023,2,3,4,6,7,8,9,14,17,18,20,21,22,24,25,1
2826,31/05/2023,1,2,3,5,7,9,11,12,13,16,17,18,19,21,23,0
2827,01/06/2023,1,2,3,5,6,7,10,13,15,16,17,18,19,21,24,2
2828,02/06/2023,1,5,6,8,11,12,14,15,16,17,18,19,20,21,25,0
2829,03/06/2023,2,3,5,6,7,8,9,10,11,13,14,15,17,18,25,99
2830,05/06/2023,2,3,4,8,9,10,11,12,13,17,18,20,21,22,25,99
2831,06/06/2023,2,3,5,7,10,11,13,14,15,16,17,19,20,22,25,99
2832,07/06/2023,1,2,3,5,6,11,14,15,16,19,20,21,22,23,24,99
2833,09/06/2023,2,3,4,5,6,11,13,14,16,18,19,22,23,24,25,99
2834,10/06/2023,1,6,8,10,11,12,13,14,17,19,20,21,22,23,25,99
2835,12/06/2023,2,4,6,7,8,9,10,12,13,14,15,16,21,22,25,99
2836,13/06/2023,1,2,3,4,7,9,12,14,15,17,18,20,21,22,23,99
2837,14/06/2023,1,2,5,6,8,10,12,17,18,19,20,21,22,24,25,99
2838,15/06/2023,3,4,5,6,7,8,10,11,12,13,15,16,21,23,25,99
2839,16/06/2023,1,3,4,5,6,10,12,13,15,16,17,18,20,21,24,99
2840,17/06/2023,1,2,4,5,6,7,10,11,13,14,16,20,22,24,25,99
2841,19/06/2023,3,5,6,7,8,9,14,17,18,19,20,21,23,24,25,99
2842,20/06/2023,3,6,7,8,10,11,12,13,17,18,20,21,22,24,25,99
2843,21/06/2023,2,4,7,9,10,12,13,16,18,20,21,22,23,24,25,99
2844,22/06/2023,4,5,6,7,10,11,12,13,14,17,21,22,23,24,25,99
2845,23/06/2023,1,2,5,7,8,10,11,12,15,17,18,19,20,23,24,99
2846,24/06/2023,4,6,8,9,10,12,13,14,15,17,19,20,21,23,24,99
2847,26/06/2023,2,4,5,6,8,9,10,12,13,14,15,18,21,22,24,99
2848,27/06/2023,1,2,4,6,7,9,11,12,13,16,17,19,23,24,25,99
2849,28/06/2023,1,2,6,9,10,11,12,15,16,18,19,20,21,24,25,99
2850,29/06/2023,1,2,6,9,11,12,14,15,16,18,19,20,22,23,24,99
2851,30/06/2023,1,3,5,6,8,9,10,12,15,16,19,20,21,22,25,99
2852,01/07/2023,1,2,4,6,8,9,10,12,13,14,15,17,19,22,24,99
2853,03/07/2023,1,2,3,4,5,9,11,12,13,14,17,21,22,24,25,2
2854,04/07/2023,1,3,5,7,8,9,10,12,14,15,17,19,20,23,25,3
2855,05/07/2023,1,2,3,4,7,8,9,10,16,17,19,21,22,23,24,0
2856,06/07/2023,1,2,3,4,5,7,9,12,15,18,20,22,23,24,25,5
2857,07/07/2023,1,3,4,6,7,8,9,10,12,15,16,17,19,22,23,0
2858,08/07/2023,1,2,4,5,6,8,11,12,13,15,17,19,20,22,24,4
2859,10/07/2023,1,2,5,6,8,9,10,11,12,14,17,18,21,22,25,2
2860,11/07/2023,1,2,3,4,5,8,9,12,13,14,15,16,18,20,21,4
2861,12/07/2023,1,5,7,10,11,12,14,15,16,17,18,19,20,21,25,0
2862,13/07/2023,1,2,3,4,6,8,9,12,13,16,18,20,21,22,23,2
